grade,subject,level,question,optionA,optionB,optionC,optionD,answer
3,Math,Easy,What is 15 + 29?,46,43,44,45,C
3,Math,Easy,What is 6 + 21?,27,26,28,29,A
3,Math,Simple,What is 53 - 4?,49,48,50,51,A
3,Math,Simple,What is 44 - 1?,42,45,43,44,C
3,Math,Easy,What is 19 + 11?,29,31,32,30,D
3,Math,Hard,What is 10 × 6?,59,60,62,61,B
3,Math,Easy,What is 25 + 13?,39,37,38,40,C
3,Math,Easy,What is 23 + 9?,32,33,31,34,A
3,Math,Simple,What is 56 - 5?,50,53,52,51,D
3,Math,Easy,What is 19 + 6?,26,25,27,24,B
3,Math,Easy,What is 27 + 21?,47,50,48,49,C
3,Math,Easy,What is 30 + 16?,48,47,45,46,D
3,Math,Easy,What is 8 + 23?,33,32,30,31,D
3,Math,Easy,What is 8 + 9?,19,16,18,17,D
3,Math,Easy,What is 27 + 19?,48,46,47,45,B
3,Math,Simple,What is 47 - 10?,38,39,36,37,D
3,Math,Simple,What is 56 - 8?,50,47,49,48,D
3,Math,Easy,What is 14 + 18?,33,34,31,32,D
3,Math,Simple,What is 37 - 2?,34,36,37,35,D
3,Math,Simple,What is 60 - 3?,57,58,56,59,A
3,Math,Easy,What is 13 + 30?,42,43,44,45,B
3,Math,Simple,What is 32 - 9?,24,22,23,25,C
3,Math,Easy,What is 30 + 9?,40,38,39,41,C
3,Math,Simple,What is 11 - 9?,2,1,4,3,A
3,Math,Hard,What is 5 × 5?,25,26,24,27,A
3,Math,Easy,What is 24 + 2?,28,26,27,25,B
3,Math,Easy,What is 7 + 14?,21,23,20,22,A
3,Math,Hard,What is 9 × 4?,37,38,35,36,D
3,Math,Hard,What is 13 × 3?,40,39,38,41,B
3,Math,Easy,What is 1 + 4?,4,7,6,5,D
3,Math,Hard,What is 13 × 9?,118,116,119,117,D
3,Math,Easy,What is 28 + 1?,28,30,29,31,C
3,Math,Easy,What is 23 + 16?,38,41,39,40,C
3,Math,Hard,What is 10 × 10?,99,102,101,100,D
3,Math,Simple,What is 45 - 10?,37,36,34,35,D
3,Math,Easy,What is 2 + 30?,34,32,31,33,B
3,Math,Hard,What is 2 × 3?,8,5,6,7,C
3,Math,Simple,What is 57 - 10?,47,48,46,49,A
3,Math,Simple,What is 34 - 7?,29,26,28,27,D
3,Math,Easy,What is 24 + 30?,55,54,56,53,B
3,Math,Easy,What is 22 + 15?,36,38,39,37,D
3,Math,Easy,What is 17 + 8?,24,25,26,27,B
3,Math,Simple,What is 32 - 4?,28,27,30,29,A
3,Math,Simple,What is 36 - 3?,34,35,33,32,C
3,Math,Simple,What is 11 - 7?,6,5,3,4,D
3,Math,Easy,What is 28 + 4?,33,32,34,31,B
3,Math,Hard,What is 3 × 8?,26,23,24,25,C
3,Math,Simple,What is 41 - 4?,37,39,36,38,A
3,Math,Easy,What is 22 + 20?,41,44,42,43,C
3,Math,Simple,What is 38 - 7?,32,30,31,33,C
3,Math,Easy,What is 26 + 6?,34,31,33,32,D
3,Math,Easy,What is 11 + 10?,22,21,20,23,B
3,Math,Easy,What is 21 + 16?,39,36,38,37,D
3,Math,Simple,What is 56 - 7?,49,48,51,50,A
3,Math,Simple,What is 58 - 9?,48,50,51,49,D
3,Math,Easy,What is 17 + 7?,26,23,24,25,C
3,Math,Easy,What is 10 + 18?,27,29,30,28,D
3,Math,Hard,What is 13 × 2?,26,28,25,27,A
3,Math,Easy,What is 20 + 4?,23,24,26,25,B
3,Math,Easy,What is 10 + 27?,36,37,39,38,B
3,Math,Simple,What is 55 - 10?,46,47,45,44,C
3,Math,Easy,What is 12 + 17?,30,29,28,31,B
3,Math,Easy,What is 12 + 25?,37,36,38,39,A
3,Math,Easy,What is 2 + 25?,27,26,28,29,A
3,Math,Simple,What is 59 - 1?,59,60,58,57,C
3,Math,Easy,What is 19 + 25?,44,43,45,46,A
3,Math,Hard,What is 13 × 8?,106,104,103,105,B
3,Math,Hard,What is 5 × 2?,11,12,10,9,C
3,Math,Easy,What is 19 + 17?,36,35,37,38,A
3,Math,Easy,What is 6 + 1?,7,8,9,6,A
3,Math,Simple,What is 47 - 5?,41,42,44,43,B
3,Math,Easy,What is 18 + 6?,24,26,23,25,A
3,Math,Easy,What is 27 + 26?,53,55,52,54,A
3,Math,Easy,What is 21 + 27?,47,48,50,49,B
3,Math,Easy,What is 30 + 29?,61,59,58,60,B
3,Math,Easy,What is 5 + 28?,35,34,32,33,D
3,Math,Easy,What is 5 + 16?,23,21,22,20,B
3,Math,Simple,What is 35 - 10?,26,24,25,27,C
3,Math,Simple,What is 36 - 4?,33,31,34,32,D
3,Math,Easy,What is 17 + 1?,19,17,20,18,D
3,Math,Simple,What is 51 - 1?,51,52,50,49,C
3,Math,Easy,What is 14 + 29?,44,42,43,45,C
3,Math,Simple,What is 60 - 8?,54,51,53,52,D
3,Math,Easy,What is 28 + 19?,46,47,49,48,B
3,Math,Simple,What is 24 - 2?,21,23,22,24,C
3,Math,Easy,What is 6 + 26?,31,34,32,33,C
3,Math,Easy,What is 28 + 17?,45,46,47,44,A
3,Math,Simple,What is 55 - 4?,51,53,50,52,A
3,Math,Easy,What is 4 + 5?,10,8,11,9,D
3,Math,Hard,What is 2 × 10?,20,19,21,22,A
3,Math,Easy,What is 23 + 12?,34,36,37,35,D
3,Math,Easy,What is 13 + 3?,16,17,15,18,A
3,Math,Simple,What is 57 - 1?,56,58,55,57,A
3,Math,Easy,What is 16 + 28?,44,43,45,46,A
3,Math,Easy,What is 6 + 30?,38,36,35,37,B
3,Math,Simple,What is 47 - 2?,46,47,45,44,C
3,Math,Simple,What is 36 - 7?,28,29,30,31,B
3,Math,Simple,What is 49 - 6?,42,44,45,43,D
3,Math,Easy,What is 5 + 19?,25,26,23,24,D
3,Math,Simple,What is 57 - 2?,54,57,55,56,C
3,Math,Easy,What is 22 + 5?,27,26,28,29,A
3,Math,Easy,What is 16 + 4?,22,20,19,21,B
3,Math,Simple,What is 47 - 8?,40,41,39,38,C
3,Math,Easy,What is 27 + 2?,28,29,31,30,B
3,Math,Easy,What is 21 + 11?,34,31,32,33,C
3,Math,Simple,What is 21 - 3?,17,18,19,20,B
3,Math,Simple,What is 45 - 5?,39,40,41,42,B
3,Math,Simple,What is 43 - 1?,43,44,41,42,D
3,Math,Easy,What is 4 + 22?,27,25,28,26,D
3,Math,Simple,What is 32 - 1?,32,31,33,30,B
3,Math,Easy,What is 27 + 25?,51,54,52,53,C
3,Math,Easy,What is 22 + 8?,32,30,31,29,B
3,Math,Hard,What is 13 × 5?,67,66,65,64,C
3,Math,Easy,What is 12 + 28?,40,39,42,41,A
3,Math,Simple,What is 31 - 9?,21,23,24,22,D
3,Math,Easy,What is 10 + 30?,41,40,39,42,B
3,Math,Easy,What is 6 + 5?,12,10,11,13,C
3,Math,Simple,What is 23 - 5?,19,20,17,18,D
3,Math,Easy,What is 16 + 11?,28,29,26,27,D
3,Math,Easy,What is 16 + 27?,44,42,43,45,C
3,Math,Easy,What is 17 + 5?,23,22,24,21,B
3,Math,Easy,What is 2 + 12?,13,16,15,14,D
3,Math,Easy,What is 8 + 21?,29,31,28,30,A
3,Math,Easy,What is 25 + 19?,43,46,44,45,C
3,Math,Simple,What is 54 - 7?,48,49,47,46,C
3,Math,Easy,What is 28 + 20?,48,49,47,50,A
3,Math,Easy,What is 17 + 28?,46,45,44,47,B
3,Math,Easy,What is 29 + 29?,60,58,59,57,B
3,Math,Simple,What is 20 - 4?,18,16,15,17,B
4,Math,Simple,What is 76 - 9?,66,67,68,69,B
4,Math,Simple,What is 40 - 5?,37,34,36,35,D
4,Math,Simple,What is 61 - 8?,53,54,52,55,A
4,Math,Simple,What is 56 - 6?,50,49,51,52,A
4,Math,Easy,What is 39 + 24?,64,65,63,62,C
4,Math,Simple,What is 27 - 2?,26,27,25,24,C
4,Math,Simple,What is 68 - 2?,68,65,66,67,C
4,Math,Simple,What is 68 - 1?,67,66,68,69,A
4,Math,Easy,What is 27 + 36?,65,63,62,64,B
4,Math,Simple,What is 69 - 1?,67,68,69,70,B
4,Math,Simple,What is 43 - 9?,33,34,36,35,B
4,Math,Simple,What is 69 - 2?,68,67,69,66,B
4,Math,Simple,What is 66 - 9?,57,56,59,58,A
4,Math,Easy,What is 38 + 6?,45,46,44,43,C
4,Math,Hard,What is 11 × 3?,35,32,34,33,D
4,Math,Easy,What is 25 + 22?,47,46,49,48,A
4,Math,Easy,What is 25 + 9?,33,35,34,36,C
4,Math,Simple,What is 60 - 2?,57,59,58,60,C
4,Math,Simple,What is 75 - 2?,73,74,75,72,A
4,Math,Easy,What is 15 + 34?,51,48,49,50,C
4,Math,Simple,What is 24 - 3?,20,21,23,22,B
4,Math,Simple,What is 80 - 1?,81,78,79,80,C
4,Math,Hard,What is 14 × 6?,84,83,85,86,A
4,Math,Easy,What is 11 + 15?,28,25,26,27,C
4,Math,Simple,What is 29 - 8?,20,21,23,22,B
4,Math,Simple,What is 11 - 4?,8,9,6,7,D
4,Math,Easy,What is 17 + 17?,34,35,36,33,A
4,Math,Easy,What is 19 + 30?,50,48,51,49,D
4,Math,Simple,What is 36 - 10?,27,26,28,25,B
4,Math,Easy,What is 25 + 37?,62,61,64,63,A
4,Math,Simple,What is 65 - 10?,55,57,56,54,A
4,Math,Simple,What is 73 - 8?,67,64,65,66,C
4,Math,Simple,What is 51 - 5?,48,46,47,45,B
4,Math,Easy,What is 8 + 38?,46,47,48,45,A
4,Math,Easy,What is 31 + 24?,56,57,55,54,C
4,Math,Easy,What is 32 + 31?,62,64,63,65,C
4,Math,Easy,What is 19 + 21?,41,42,40,39,C
4,Math,Simple,What is 62 - 6?,58,57,56,55,C
4,Math,Easy,What is 18 + 20?,39,37,38,40,C
4,Math,Simple,What is 75 - 8?,67,68,66,69,A
4,Math,Easy,What is 40 + 8?,50,48,49,47,B
4,Math,Simple,What is 66 - 1?,65,64,67,66,A
4,Math,Simple,What is 25 - 5?,19,20,21,22,B
4,Math,Simple,What is 34 - 3?,32,33,31,30,C
4,Math,Simple,What is 33 - 4?,28,30,31,29,D
4,Math,Easy,What is 13 + 22?,37,36,35,34,C
4,Math,Easy,What is 38 + 25?,63,65,62,64,A
4,Math,Easy,What is 24 + 5?,31,28,30,29,D
4,Math,Easy,What is 25 + 7?,31,32,33,34,B
4,Math,Easy,What is 29 + 13?,44,42,43,41,B
4,Math,Easy,What is 31 + 13?,44,46,45,43,A
4,Math,Simple,What is 61 - 7?,53,54,55,56,B
4,Math,Easy,What is 26 + 7?,33,34,32,35,A
4,Math,Easy,What is 37 + 3?,39,42,41,40,D
4,Math,Simple,What is 74 - 10?,65,66,64,63,C
4,Math,Easy,What is 18 + 35?,53,55,54,52,A
4,Math,Easy,What is 27 + 34?,62,63,60,61,D
4,Math,Easy,What is 31 + 1?,32,33,31,34,A
4,Math,Simple,What is 33 - 2?,30,31,32,33,B
4,Math,Simple,What is 39 - 7?,32,31,33,34,A
4,Math,Easy,What is 12 + 3?,16,17,15,14,C
4,Math,Easy,What is 9 + 25?,36,33,35,34,D
4,Math,Easy,What is 12 + 35?,47,49,48,46,A
4,Math,Simple,What is 52 - 2?,52,50,51,49,B
4,Math,Easy,What is 2 + 32?,35,33,34,36,C
4,Math,Simple,What is 31 - 3?,28,27,29,30,A
4,Math,Easy,What is 25 + 4?,29,28,30,31,A
4,Math,Simple,What is 51 - 10?,40,43,41,42,C
4,Math,Hard,What is 14 × 2?,29,27,28,30,C
4,Math,Easy,What is 1 + 2?,2,4,5,3,D
4,Math,Easy,What is 33 + 21?,55,53,54,56,C
4,Math,Easy,What is 20 + 36?,56,58,57,55,A
4,Math,Easy,What is 35 + 29?,66,65,63,64,D
4,Math,Easy,What is 5 + 30?,36,34,37,35,D
4,Math,Easy,What is 10 + 39?,49,48,51,50,A
4,Math,Easy,What is 25 + 30?,55,57,54,56,A
4,Math,Easy,What is 29 + 17?,48,46,45,47,B
4,Math,Simple,What is 68 - 7?,60,63,61,62,C
4,Math,Simple,What is 35 - 3?,33,31,32,34,C
4,Math,Simple,What is 46 - 9?,36,37,39,38,B
4,Math,Easy,What is 34 + 2?,36,35,37,38,A
4,Math,Simple,What is 75 - 7?,67,68,69,70,B
4,Math,Simple,What is 21 - 4?,16,17,19,18,B
4,Math,Simple,What is 62 - 7?,57,54,56,55,D
4,Math,Easy,What is 40 + 3?,45,43,44,42,B
4,Math,Simple,What is 38 - 5?,33,35,32,34,A
4,Math,Simple,What is 40 - 1?,39,38,40,41,A
4,Math,Simple,What is 27 - 10?,19,18,16,17,D
4,Math,Simple,What is 48 - 7?,41,43,42,40,A
4,Math,Easy,What is 17 + 37?,55,53,56,54,D
4,Math,Simple,What is 49 - 9?,42,41,39,40,D
4,Math,Simple,What is 73 - 5?,69,70,68,67,C
4,Math,Easy,What is 36 + 39?,77,75,76,74,B
4,Math,Easy,What is 40 + 30?,70,71,69,72,A
4,Math,Simple,What is 58 - 7?,51,50,52,53,A
4,Math,Hard,What is 13 × 7?,90,92,93,91,D
4,Math,Easy,What is 1 + 9?,12,11,9,10,D
4,Math,Easy,What is 23 + 8?,32,33,30,31,D
4,Math,Simple,What is 63 - 9?,56,54,53,55,B
4,Math,Simple,What is 57 - 5?,53,54,52,51,C
4,Math,Easy,What is 6 + 37?,42,44,43,45,C
4,Math,Easy,What is 13 + 16?,28,29,30,31,B
4,Math,Simple,What is 79 - 2?,78,79,76,77,D
4,Math,Easy,What is 37 + 18?,57,55,56,54,B
4,Math,Easy,What is 34 + 27?,61,62,63,60,A
4,Math,Easy,What is 13 + 34?,49,46,48,47,D
4,Math,Easy,What is 39 + 40?,81,78,79,80,C
4,Math,Simple,What is 59 - 5?,53,54,56,55,B
4,Math,Easy,What is 2 + 17?,20,19,21,18,B
4,Math,Easy,What is 26 + 33?,58,61,60,59,D
4,Math,Simple,What is 62 - 5?,56,57,58,59,B
4,Math,Easy,What is 26 + 8?,35,33,36,34,D
4,Math,Easy,What is 15 + 35?,52,50,49,51,B
4,Math,Easy,What is 26 + 39?,66,67,65,64,C
4,Math,Easy,What is 16 + 1?,17,19,16,18,A
4,Math,Simple,What is 65 - 8?,56,58,59,57,D
4,Math,Easy,What is 2 + 15?,18,19,16,17,D
4,Math,Simple,What is 53 - 1?,51,53,54,52,D
4,Math,Simple,What is 43 - 6?,36,39,38,37,D
4,Math,Easy,What is 2 + 23?,27,26,25,24,C
4,Math,Simple,What is 72 - 10?,62,64,61,63,A
4,Math,Easy,What is 13 + 19?,33,34,31,32,D
4,Math,Hard,What is 14 × 4?,57,58,55,56,D
4,Math,Simple,What is 47 - 9?,40,37,38,39,C
4,Math,Simple,What is 67 - 10?,59,58,57,56,C
4,Math,Simple,What is 50 - 9?,41,43,42,40,A
4,Math,Simple,What is 75 - 10?,65,67,64,66,A
4,Math,Simple,What is 79 - 5?,75,73,76,74,D
4,Math,Easy,What is 32 + 4?,37,35,38,36,D
4,Math,Easy,What is 36 + 23?,60,59,58,61,B
4,Math,Easy,What is 40 + 19?,61,59,58,60,B
4,Math,Easy,What is 33 + 33?,68,67,65,66,D
4,Math,Easy,What is 5 + 37?,43,42,44,41,B
4,Math,Easy,What is 9 + 1?,12,10,11,9,B
4,Math,Easy,What is 6 + 11?,18,17,16,19,B
4,Math,Simple,What is 33 - 6?,27,28,29,26,A
4,Math,Easy,What is 29 + 14?,42,43,45,44,B
4,Math,Easy,What is 2 + 33?,34,36,37,35,D
4,Math,Simple,What is 46 - 6?,42,40,41,39,B
4,Math,Easy,What is 18 + 33?,52,50,53,51,D
4,Math,Easy,What is 24 + 19?,45,44,43,42,C
4,Math,Simple,What is 23 - 4?,20,19,21,18,B
4,Math,Hard,What is 14 × 10?,140,142,141,139,A
4,Math,Simple,What is 45 - 2?,44,42,45,43,D
4,Math,Easy,What is 16 + 19?,34,35,36,37,B
4,Math,Simple,What is 25 - 6?,18,21,19,20,C
4,Math,Simple,What is 77 - 7?,72,70,69,71,B
4,Math,Simple,What is 44 - 4?,39,40,42,41,B
4,Math,Easy,What is 31 + 34?,66,64,67,65,D
4,Math,Easy,What is 7 + 28?,34,37,36,35,D
4,Math,Simple,What is 23 - 10?,15,13,14,12,B
4,Math,Easy,What is 5 + 20?,24,25,27,26,B
4,Math,Easy,What is 33 + 7?,40,41,39,42,A
4,Math,Easy,What is 34 + 1?,34,37,36,35,D
4,Math,Easy,What is 35 + 32?,67,66,69,68,A
4,Math,Easy,What is 31 + 11?,41,42,44,43,B
4,Math,Simple,What is 23 - 3?,21,22,19,20,D
4,Math,Easy,What is 30 + 14?,44,43,45,46,A
4,Math,Simple,What is 70 - 6?,66,65,64,63,C
4,Math,Easy,What is 16 + 22?,38,39,40,37,A
4,Math,Easy,What is 37 + 30?,67,66,68,69,A
4,Math,Easy,What is 27 + 24?,52,51,50,53,B
4,Math,Simple,What is 79 - 10?,69,71,70,68,A
4,Math,Easy,What is 31 + 35?,66,65,68,67,A
4,Math,Easy,What is 11 + 29?,42,41,40,39,C
4,Math,Easy,What is 28 + 18?,48,45,46,47,C
4,Math,Easy,What is 22 + 30?,53,52,51,54,B
4,Math,Simple,What is 41 - 8?,32,33,34,35,B
4,Math,Simple,What is 48 - 8?,40,42,41,39,A
4,Math,Easy,What is 1 + 32?,33,34,32,35,A
4,Math,Easy,What is 14 + 8?,24,22,23,21,B
4,Math,Easy,What is 40 + 40?,79,82,81,80,D
4,Math,Easy,What is 19 + 34?,55,52,54,53,D
4,Math,Simple,What is 51 - 4?,49,46,48,47,D
4,Math,Easy,What is 19 + 8?,28,27,29,26,B
4,Math,Easy,What is 34 + 33?,66,67,68,69,B
4,Math,Simple,What is 38 - 10?,27,28,29,30,B
4,Math,Simple,What is 48 - 1?,48,49,47,46,C
4,Math,Easy,What is 9 + 23?,34,32,31,33,B
4,Math,Easy,What is 5 + 40?,47,45,44,46,B
4,Math,Easy,What is 18 + 37?,57,56,55,54,C
4,Math,Easy,What is 29 + 8?,39,36,37,38,C
4,Math,Simple,What is 54 - 3?,52,50,51,53,C
4,Math,Easy,What is 28 + 11?,41,40,38,39,D
4,Math,Simple,What is 29 - 6?,22,25,24,23,D
4,Math,Simple,What is 39 - 6?,33,34,32,35,A
4,Math,Simple,What is 77 - 3?,74,76,73,75,A
4,Math,Simple,What is 44 - 3?,40,43,41,42,C
4,Math,Simple,What is 63 - 2?,60,63,62,61,D
4,Math,Easy,What is 34 + 23?,58,59,56,57,D
4,Math,Easy,What is 30 + 2?,34,32,33,31,B
4,Math,Simple,What is 26 - 7?,18,19,21,20,B
4,Math,Easy,What is 26 + 14?,40,39,41,42,A
4,Math,Easy,What is 34 + 16?,49,50,52,51,B
4,Math,Simple,What is 30 - 4?,26,28,27,25,A
4,Math,Simple,What is 32 - 8?,25,26,23,24,D
4,Math,Simple,What is 63 - 4?,58,61,60,59,D
4,Math,Easy,What is 14 + 15?,31,28,29,30,C
4,Math,Easy,What is 9 + 36?,44,45,46,47,B
4,Math,Simple,What is 56 - 2?,56,55,53,54,D
5,Math,Simple,What is 52 - 5?,49,46,47,48,C
5,Math,Easy,What is 25 + 2?,29,27,28,26,B
5,Math,Simple,What is 19 - 6?,15,12,14,13,D
5,Math,Easy,What is 45 + 19?,65,63,66,64,D
5,Math,Easy,What is 49 + 6?,56,57,55,54,C
5,Math,Simple,What is 59 - 6?,53,52,55,54,A
5,Math,Easy,What is 42 + 27?,68,71,69,70,C
5,Math,Easy,What is 20 + 13?,33,34,32,35,A
5,Math,Simple,What is 65 - 3?,61,63,64,62,D
5,Math,Simple,What is 68 - 10?,57,58,59,60,B
5,Math,Simple,What is 96 - 3?,92,95,93,94,C
5,Math,Easy,What is 24 + 21?,45,46,47,44,A
5,Math,Easy,What is 22 + 16?,37,38,39,40,B
5,Math,Easy,What is 22 + 26?,50,48,47,49,B
5,Math,Easy,What is 40 + 47?,88,87,86,89,B
5,Math,Easy,What is 15 + 16?,33,32,30,31,D
5,Math,Simple,What is 23 - 9?,15,14,13,16,B
5,Math,Easy,What is 42 + 48?,90,92,91,89,A
5,Math,Simple,What is 91 - 7?,83,86,84,85,C
5,Math,Easy,What is 39 + 12?,51,52,53,50,A
5,Math,Simple,What is 97 - 7?,89,91,92,90,D
5,Math,Easy,What is 50 + 18?,68,69,67,70,A
5,Math,Easy,What is 34 + 29?,65,62,63,64,C
5,Math,Easy,What is 14 + 31?,44,45,47,46,B
5,Math,Simple,What is 39 - 1?,40,37,38,39,C
5,Math,Hard,What is 14 × 3?,41,44,43,42,D
5,Math,Easy,What is 20 + 15?,35,34,37,36,A
5,Math,Easy,What is 32 + 8?,41,42,40,39,C
5,Math,Simple,What is 87 - 3?,85,83,86,84,D
5,Math,Easy,What is 50 + 27?,78,77,79,76,B
5,Math,Easy,What is 47 + 41?,88,87,89,90,A
5,Math,Easy,What is 40 + 36?,78,76,75,77,B
5,Math,Easy,What is 15 + 33?,49,50,47,48,D
5,Math,Simple,What is 77 - 6?,72,71,70,73,B
5,Math,Easy,What is 10 + 22?,34,33,32,31,C
5,Math,Simple,What is 52 - 10?,43,42,41,44,B
5,Math,Simple,What is 81 - 8?,74,73,75,72,B
5,Math,Easy,What is 5 + 4?,9,8,11,10,A
5,Math,Easy,What is 23 + 39?,61,63,62,64,C
5,Math,Simple,What is 96 - 1?,95,97,96,94,A
5,Math,Easy,What is 44 + 7?,53,50,52,51,D
5,Math,Hard,What is 15 × 5?,76,74,75,77,C
5,Math,Simple,What is 35 - 8?,26,27,29,28,B
5,Math,Simple,What is 61 - 4?,59,57,58,56,B
5,Math,Simple,What is 44 - 10?,36,35,33,34,D
5,Math,Easy,What is 32 + 42?,75,74,76,73,B
5,Math,Simple,What is 99 - 6?,93,92,95,94,A
5,Math,Easy,What is 26 + 46?,72,73,74,71,A
5,Math,Simple,What is 90 - 5?,84,85,86,87,B
5,Math,Easy,What is 46 + 29?,76,75,74,77,B
5,Math,Simple,What is 73 - 2?,73,71,72,70,B
5,Math,Easy,What is 20 + 23?,43,45,42,44,A
5,Math,Easy,What is 46 + 38?,86,85,84,83,C
5,Math,Hard,What is 14 × 5?,70,72,69,71,A
5,Math,Simple,What is 30 - 9?,21,20,23,22,A
5,Math,Easy,What is 29 + 31?,60,59,61,62,A
5,Math,Easy,What is 49 + 9?,60,57,58,59,C
5,Math,Simple,What is 44 - 5?,39,40,38,41,A
5,Math,Easy,What is 37 + 13?,49,50,52,51,B
5,Math,Hard,What is 15 × 10?,150,149,152,151,A
5,Math,Simple,What is 82 - 9?,74,73,72,75,B
5,Math,Simple,What is 72 - 8?,63,64,65,66,B
5,Math,Simple,What is 41 - 9?,31,34,33,32,D
5,Math,Easy,What is 45 + 17?,61,62,63,64,B
5,Math,Simple,What is 61 - 10?,50,52,53,51,D
5,Math,Easy,What is 29 + 39?,69,70,68,67,C
5,Math,Easy,What is 44 + 16?,59,60,61,62,B
5,Math,Easy,What is 3 + 17?,19,22,21,20,D
5,Math,Easy,What is 31 + 9?,41,40,42,39,B
5,Math,Simple,What is 23 - 7?,17,18,16,15,C
5,Math,Simple,What is 94 - 6?,87,88,89,90,B
5,Math,Easy,What is 38 + 24?,63,64,62,61,C
5,Math,Simple,What is 78 - 4?,75,74,73,76,B
5,Math,Simple,What is 64 - 2?,63,62,61,64,B
5,Math,Simple,What is 79 - 7?,74,72,73,71,B
5,Math,Simple,What is 47 - 1?,48,47,45,46,D
5,Math,Simple,What is 75 - 5?,72,71,69,70,D
5,Math,Simple,What is 87 - 10?,77,79,78,76,A
5,Math,Simple,What is 11 - 10?,2,3,0,1,D
5,Math,Easy,What is 25 + 16?,41,43,42,40,A
5,Math,Easy,What is 24 + 45?,69,71,70,68,A
5,Math,Easy,What is 20 + 46?,65,66,67,68,B
5,Math,Easy,What is 15 + 28?,43,42,44,45,A
5,Math,Easy,What is 9 + 46?,57,56,54,55,D
5,Math,Easy,What is 44 + 34?,80,78,77,79,B
5,Math,Easy,What is 22 + 9?,32,30,31,33,C
5,Math,Easy,What is 37 + 26?,65,64,62,63,D
5,Math,Simple,What is 94 - 2?,93,91,94,92,D
5,Math,Easy,What is 31 + 36?,66,69,68,67,D
5,Math,Easy,What is 15 + 26?,40,43,42,41,D
5,Math,Simple,What is 29 - 10?,21,20,19,18,C
5,Math,Simple,What is 68 - 8?,61,62,60,59,C
5,Math,Simple,What is 65 - 1?,64,66,65,63,A
5,Math,Easy,What is 9 + 18?,26,29,27,28,C
5,Math,Simple,What is 76 - 1?,77,74,75,76,C
5,Math,Easy,What is 40 + 25?,64,67,65,66,C
5,Math,Easy,What is 32 + 13?,46,45,44,47,B
5,Math,Simple,What is 32 - 10?,21,22,24,23,B
5,Math,Easy,What is 3 + 33?,37,36,35,38,B
5,Math,Simple,What is 78 - 7?,70,72,71,73,C
5,Math,Simple,What is 87 - 4?,84,82,83,85,C
5,Math,Simple,What is 84 - 3?,82,80,83,81,D
5,Math,Easy,What is 34 + 32?,68,67,65,66,D
5,Math,Hard,What is 3 × 9?,28,29,27,26,C
5,Math,Easy,What is 48 + 36?,85,84,83,86,B
5,Math,Easy,What is 33 + 8?,40,42,41,43,C
5,Math,Easy,What is 47 + 13?,61,60,59,62,B
5,Math,Simple,What is 51 - 7?,43,45,46,44,D
5,Math,Simple,What is 69 - 6?,63,62,64,65,A
5,Math,Easy,What is 6 + 13?,21,20,19,18,C
5,Math,Simple,What is 63 - 7?,55,57,58,56,D
5,Math,Easy,What is 4 + 30?,35,36,34,33,C
5,Math,Simple,What is 25 - 7?,18,17,19,20,A
5,Math,Simple,What is 86 - 8?,79,78,80,77,B
5,Math,Easy,What is 20 + 22?,44,43,42,41,C
5,Math,Hard,What is 15 × 2?,30,31,29,32,A
5,Math,Simple,What is 33 - 9?,24,25,23,26,A
5,Math,Easy,What is 31 + 40?,73,72,70,71,D
5,Math,Easy,What is 3 + 23?,28,27,26,25,C
5,Math,Easy,What is 39 + 50?,91,90,88,89,D
5,Math,Easy,What is 16 + 2?,17,20,18,19,C
5,Math,Easy,What is 19 + 27?,47,48,45,46,D
5,Math,Simple,What is 43 - 8?,35,34,37,36,A
5,Math,Simple,What is 95 - 3?,93,91,94,92,D
5,Math,Easy,What is 44 + 48?,94,92,91,93,B
5,Math,Easy,What is 21 + 26?,48,47,49,46,B
5,Math,Easy,What is 14 + 41?,57,56,54,55,D
5,Math,Simple,What is 91 - 9?,81,82,83,84,B
5,Math,Easy,What is 22 + 7?,30,31,29,28,C
5,Math,Easy,What is 29 + 25?,55,54,53,56,B
5,Math,Easy,What is 21 + 8?,30,31,28,29,D
5,Math,Easy,What is 38 + 44?,83,82,81,84,B
5,Math,Hard,What is 14 × 9?,126,125,128,127,A
5,Math,Easy,What is 11 + 25?,38,35,37,36,D
5,Math,Easy,What is 31 + 39?,71,69,72,70,D
5,Math,Simple,What is 77 - 9?,67,68,70,69,B
5,Math,Simple,What is 84 - 7?,78,76,77,79,C
5,Math,Simple,What is 89 - 4?,87,85,84,86,B
5,Math,Simple,What is 17 - 10?,7,9,6,8,A
5,Math,Easy,What is 2 + 48?,49,50,52,51,B
5,Math,Simple,What is 97 - 10?,89,86,87,88,C
5,Math,Easy,What is 46 + 25?,73,72,70,71,D
5,Math,Simple,What is 56 - 4?,52,54,51,53,A
5,Math,Easy,What is 43 + 41?,86,84,83,85,B
5,Math,Easy,What is 25 + 40?,65,67,64,66,A
5,Math,Easy,What is 14 + 33?,47,49,48,46,A
5,Math,Easy,What is 5 + 36?,42,41,43,40,B
5,Math,Easy,What is 43 + 45?,88,87,89,90,A
5,Math,Simple,What is 98 - 7?,90,92,91,93,C
5,Math,Easy,What is 20 + 30?,51,49,52,50,D
5,Math,Easy,What is 33 + 49?,83,82,84,81,B
5,Math,Simple,What is 80 - 10?,69,71,70,72,C
